ClsPric,TtlTradgVol,TradDt,TckrSymb
187.18,65883,2025-03-17,20MICRONS
854.6,476976,2025-03-17,360ONE
87.5,96533,2025-03-17,GOLD360
22.02,788078,2025-03-17,3IINFOLTD
27288.0,3112,2025-03-17,3MINDIA
315.8,38060,2025-03-17,5PAISA
699.6,287019,2025-03-17,63MOONS
87.28,54713,2025-03-17,ABINFRA
68.39,11868,2025-03-17,AAATECH
416.65,357160,2025-03-17,AADHARHFC
8.32,93126,2025-03-17,AAKASH
33.81,102168,2025-03-17,AAREYDRUGS
351.3,4291,2025-03-17,AARON
333.2,144760,2025-03-17,AARTIDRUGS
384.7,821154,2025-03-17,AARTIIND
774.3,675280,2025-03-17,AARTIPHARM
420.7,18977,2025-03-17,AARTISURF
103.12,9897,2025-03-17,AARVI
1909.9,424030,2025-03-17,AAVAS
5187.65,276511,2025-03-17,ABB
30176.25,5725,2025-03-17,ABBOTINDIA
47.53,179,2025-03-17,ABMINTLLTD
1883.1,208567,2025-03-17,ACC
1262.95,11418,2025-03-17,ACCELYA
8.21,215275,2025-03-17,ACCURACY
20.94,11558,2025-03-17,ACEINTEG
196.56,511865,2025-03-17,ACMESOLAR
1154.7,177194,2025-03-17,ACE
795.05,1850753,2025-03-17,ADANIENSOL
2252.7,927737,2025-03-17,ADANIENT
896.45,5903492,2025-03-17,ADANIGREEN
1137.15,1489541,2025-03-17,ADANIPORTS
511.2,3106357,2025-03-17,ADANIPOWER
603.35,746787,2025-03-17,ATGL
245.36,1577992,2025-03-17,AWL
226.9,120877,2025-03-17,ADFFOODS
593.0,226094,2025-03-17,ABSLAMC
161.82,2587916,2025-03-17,ABCAPITAL
241.24,1292682,2025-03-17,ABFRL
1759.85,180214,2025-03-17,ABREL
424.6,29897,2025-03-17,AVL
78.21,76026,2025-03-17,BSLGOLDETF
25.91,136265,2025-03-17,BSLNIFTY
847.45,30542,2025-03-17,ADORWELD
14.18,87906,2025-03-17,ADROITINFO
266.15,200062,2025-03-17,ADVENZYMES
59.8,68572,2025-03-17,ADVANIHOTR
749.0,661853,2025-03-17,AEGISLOG
165.55,849458,2025-03-17,AEROFLEX
860.1,62955,2025-03-17,AETHER
450.7,539218,2025-03-17,AFCONS
1425.1,162487,2025-03-17,AFFLE
404.15,13620,2025-03-17,AFFORDABLE
963.8,20923,2025-03-17,AGARIND
654.65,196531,2025-03-17,AGI
809.15,28297,2025-03-17,AGIIL
132.95,10109,2025-03-17,AGRITECH
28.82,24301,2025-03-17,AGROPHOS
806.35,30255,2025-03-17,ATFL
61.9,40982,2025-03-17,AHLADA
733.15,199231,2025-03-17,AHLUCONT
3205.95,24391,2025-03-17,AIAENG
48.13,211266,2025-03-17,GOLDTECH
26.19,163766,2025-03-17,AIRAN
95.82,8445,2025-03-17,AIROLAM
2576.85,93024,2025-03-17,AJANTPHARM
605.2,294349,2025-03-17,AJAXENGG
793.2,48725,2025-03-17,AJMERA
6.08,946987,2025-03-17,AJOONI
25.61,5320,2025-03-17,AKASH
13.09,1086642,2025-03-17,AKG
65.26,216714,2025-03-17,AFIL
202.25,14079,2025-03-17,AKSHARCHEM
507.8,105192,2025-03-17,AKUMS
3130.45,8056,2025-03-17,AKZOINDIA
14.86,419776,2025-03-17,ALANKIT
796.8,22333,2025-03-17,ALBERTDAVD
90.1,484627,2025-03-17,ALEMBICLTD
822.0,99014,2025-03-17,APLLTD
676.55,31955,2025-03-17,ALICON
1022.3,42650,2025-03-17,ALIVUS
81.68,12720,2025-03-17,ALKALI
4818.15,160256,2025-03-17,ALKEM
1568.6,69444,2025-03-17,ALKYLAMINE
54.88,1188468,2025-03-17,ACLGATI
29.24,2871677,2025-03-17,ALLCARGO
25.07,534368,2025-03-17,ATL
906.35,16925,2025-03-17,ALLDIGI
311.0,536611,2025-03-17,ABDL
184.07,316869,2025-03-17,ADSL
19.0,977985,2025-03-17,ALMONDZ
15.53,5872700,2025-03-17,ALOKINDS
102.61,48806,2025-03-17,ALPA
970.5,400905,2025-03-17,ARE&M
6489.7,586550,2025-03-17,AMBER
25.6,57060,2025-03-17,AMBICAAGAR
1295.8,11853,2025-03-17,AMBIKCO
490.55,2759538,2025-03-17,AMBUJACEM
40.16,23218,2025-03-17,AMDIND
2198.0,196188,2025-03-17,AMIORG
205.7,19315,2025-03-17,AMNPLST
47.93,56856,2025-03-17,AMJLAND
590.3,23492,2025-03-17,AMRUTANJAN
1708.45,300620,2025-03-17,ANANDRATHI
490.8,1007855,2025-03-17,ANANTRAJ
56.57,28740,2025-03-17,ACL
67.98,306615,2025-03-17,ANDHRAPAP
65.59,255993,2025-03-17,ANDHRSUGAR
1979.85,829703,2025-03-17,ANGELONE
91.83,9432,2025-03-17,ANIKINDS
97.41,46451,2025-03-17,APCL
15.31,438292,2025-03-17,ANMOL
1.07,161717,2025-03-17,ANTGRAPHIC
486.45,96107,2025-03-17,AWHCL
150.7,40025,2025-03-17,ANUHPHR
766.6,827111,2025-03-17,ANURAS
10.16,161028,2025-03-17,AONETOTAL
5321.6,227462,2025-03-17,APARINDS
288.9,326659,2025-03-17,APCOTEXIND
225.52,213011,2025-03-17,APEX
1411.4,653324,2025-03-17,APLAPOLLO
6156.65,287639,2025-03-17,APOLLOHOSP
113.84,5081323,2025-03-17,APOLLO
324.7,87672,2025-03-17,APOLLOPIPE
1252.6,5982,2025-03-17,APOLSINHOT
402.3,632742,2025-03-17,APOLLOTYRE
120.6,190751,2025-03-17,APTECHT
289.85,251933,2025-03-17,APTUS
551.15,571788,2025-03-17,ACI
63.71,1148,2025-03-17,ADL
85.61,11256,2025-03-17,ARCHIDPLY
15.08,99272,2025-03-17,ARCHIES
73.73,1804896,2025-03-17,ARIHANTCAP
360.55,73620,2025-03-17,ARIHANTSUP
145.25,424875,2025-03-17,ARKADE
1120.8,40189,2025-03-17,ARMANFIN
34.42,15463,2025-03-17,AROGRANITE
239.04,107358,2025-03-17,ARTEMISMED
141.43,182,2025-03-17,ARVEE
364.05,341498,2025-03-17,ARVINDFASN
319.3,239966,2025-03-17,ARVIND
645.2,48941,2025-03-17,ARVSMART
579.35,46686,2025-03-17,ASAHIINDIA
332.15,157812,2025-03-17,ASAHISONG
313.1,267376,2025-03-17,ASHAPURMIN
300.05,91428,2025-03-17,ASHIANA
18.09,380699,2025-03-17,ASHIMASYN
198.46,8934360,2025-03-17,ASHOKLEY
168.17,2174012,2025-03-17,ASHOKA
17.03,96369,2025-03-17,ASHOKAMET
216.94,363811,2025-03-17,ASIANENE
43.31,622007,2025-03-17,ASIANTILES
133.35,12956,2025-03-17,AHLEAST
2219.55,838016,2025-03-17,ASIANPAINT
411.7,94221,2025-03-17,ASKAUTOLTD
242.6,9195,2025-03-17,ASPINWALL
1390.8,102553,2025-03-17,ASALCBR
655.85,71489,2025-03-17,ASTEC
424.95,523443,2025-03-17,ASTERDM
617.7,127136,2025-03-17,ASTRAMICRO
1238.05,345802,2025-03-17,ASTRAL
7712.4,22683,2025-03-17,ASTRAZEN
12.59,140381,2025-03-17,ASTRON
12.49,3071172,2025-03-17,ATALREAL
79.78,45317,2025-03-17,ATAM
414.85,54751,2025-03-17,ATULAUTO
5814.0,136295,2025-03-17,ATUL
491.8,3628157,2025-03-17,AUBANK
1336.4,46827,2025-03-17,AURIONPRO
1111.7,799921,2025-03-17,AUROPHARMA
162.55,54933,2025-03-17,AURUM
74.93,11805,2025-03-17,AUSOMENT
1425.3,60109,2025-03-17,AIIL
65.89,117951,2025-03-17,AUTOIND
1568.2,17525,2025-03-17,AUTOAXLES
452.95,40011,2025-03-17,ASAL
391.85,57977,2025-03-17,AVADHSUGAR
668.3,168735,2025-03-17,AVALON
106.91,562607,2025-03-17,AVANTEL
891.7,3333614,2025-03-17,AVANTIFEED
3825.3,425089,2025-03-17,DMART
161.17,9424,2025-03-17,AVROIND
52.71,129701,2025-03-17,AVTNPL
573.55,261315,2025-03-17,AWFIS
1034.15,5938668,2025-03-17,AXISBANK
74.09,222726,2025-03-17,AXISGOLD
494.9,310,2025-03-17,AXISBNKETF
12.46,81498,2025-03-17,AXISBPSETF
105.71,1197,2025-03-17,AXISCETF
134.54,1761,2025-03-17,AXISHCETF
100.14,44943,2025-03-17,AXISILVER
245.06,5342,2025-03-17,AXISNIFTY
387.04,1509,2025-03-17,AXISTECETF
75.8,1408,2025-03-17,AXSENSEX
10.02,1116685,2025-03-17,AXITA
173.86,76105,2025-03-17,AYMSYNTEX
1257.8,291462,2025-03-17,AZAD
138.11,26909,2025-03-17,BBTCL
46.35,1678632,2025-03-17,BLKASHYAP
230.62,291786,2025-03-17,STYLEBAAZA
9.28,313151,2025-03-17,BAIDFIN
7486.05,286388,2025-03-17,BAJAJ-AUTO
157.04,407807,2025-03-17,BAJAJCON
541.3,83686,2025-03-17,BAJAJELEC
8580.35,1102085,2025-03-17,BAJFINANCE
1871.6,6994838,2025-03-17,BAJAJFINSV
664.0,409815,2025-03-17,BAJAJHCARE
18.45,8100817,2025-03-17,BAJAJHIND
11566.6,85256,2025-03-17,BAJAJHLDNG
115.09,6279861,2025-03-17,BAJAJHFL
155.92,230322,2025-03-17,BAJEL
81.36,22807,2025-03-17,BALPHARMA
1177.15,79686,2025-03-17,BALAMINES
68.76,30788,2025-03-17,BALAXI
2528.95,65292,2025-03-17,BALKRISIND
18.5,90252,2025-03-17,BALKRISHNA
170.16,331567,2025-03-17,BALMLAWRIE
477.0,311555,2025-03-17,BALRAMCHIN
435.6,507580,2025-03-17,BALUFORGE
125.71,7141,2025-03-17,BANARBEADS
330.25,157241,2025-03-17,BANCOINDIA
138.34,7356893,2025-03-17,BANDHANBNK
243.92,1244,2025-03-17,IDFNIFTYET
205.74,6086414,2025-03-17,BANKBARODA
94.8,4495889,2025-03-17,BANKINDIA
44.47,8382914,2025-03-17,MAHABANK
82.36,24298,2025-03-17,BANKA
28.71,385315,2025-03-17,BASML
3250.3,868,2025-03-17,BANARISUG
346.35,181101,2025-03-17,BANSALWIRE
126.87,66719,2025-03-17,BANSWRAS
39.26,18868,2025-03-17,BVCL
270.6,179290,2025-03-17,BARBEQUE
48.39,47,2025-03-17,BBNPNBETF
86.1,7338,2025-03-17,BBNPPGOLD
13.85,442114,2025-03-17,ASMS
4536.75,19334,2025-03-17,BASF
1205.9,125011,2025-03-17,BATAINDIA
4821.3,14832,2025-03-17,BAYERCROP
36.12,984784,2025-03-17,BCLIND
27.7,75734,2025-03-17,BEARDSELL
163.13,8872,2025-03-17,BEDMUTHA
183.48,66475,2025-03-17,BLAL
2517.65,245319,2025-03-17,BEML
502.65,464397,2025-03-17,BERGEPAINT
424.4,40177,2025-03-17,BFINVEST
586.2,129952,2025-03-17,BFUTILITIE
48.59,28603,2025-03-17,BANKBETF
1021.0,90937,2025-03-17,LIQUIDBETF
228.15,2678,2025-03-17,NIFTYBETF
147.28,45606,2025-03-17,BHAGERIA
290.75,71535,2025-03-17,BHAGCHEM
72.53,62749,2025-03-17,BHAGYANGR
4.57,438529,2025-03-17,BHANDARI
100.0,485521,2025-03-17,BEPL
2525.0,42537,2025-03-17,BBL
1107.15,825611,2025-03-17,BDL
279.93,13883682,2025-03-17,BEL
1076.35,628264,2025-03-17,BHARATFORG
71.96,37499,2025-03-17,BHARATGEAR
261.42,6482585,2025-03-17,BPCL
10031.5,1522,2025-03-17,BHARATRAS
34.81,45832,2025-03-17,BRNL
163.81,362016,2025-03-17,BHARATWIRE
1639.15,6405525,2025-03-17,BHARTIARTL
1354.25,292148,2025-03-17,BHARTIHEXA
195.43,6627152,2025-03-17,BHEL
60.67,262954,2025-03-17,BIGBLOC
683.35,396311,2025-03-17,BIKAJI
9.99,154259,2025-03-17,BINANIIND
333.25,2440747,2025-03-17,BIOCON
43.31,45507,2025-03-17,BIOFILCHEM
126.75,88483,2025-03-17,BIRLACABLE
1003.65,295371,2025-03-17,BIRLACORPN
106.0,365,2025-03-17,ABGSEC
49.0,12442,2025-03-17,ABSLBANETF
999.99,4085,2025-03-17,ABSLLIQUID
61.9,23622,2025-03-17,ABSLNN50ET
